,지점,일시,풍속(m/s),풍향(deg),기온(°C),수온(°C),강수량(mm),적조발생(실측),적조발생(조건)
0,추자도,2021-09-01 5:00,9.8,222,27.7,27.8,0,0,0
1,추자도,2021-09-01 8:00,9.7,225,27.8,27.6,0,0,0
2,추자도,2021-09-01 9:00,9.2,240,28.1,27.6,0,0,0
3,추자도,2021-09-01 10:00,9,230,28.1,27.6,0,0,0
4,추자도,2021-09-01 11:00,9,229,28.1,27.6,0,0,0
5,추자도,2021-09-01 12:00,7.8,235,28.1,26.7,0,0,0
6,추자도,2021-09-01 13:00,6.8,232,27.9,26.3,0,0,0
7,추자도,2021-09-01 14:00,7.1,231,27.6,25.2,0,0,0
8,추자도,2021-09-01 15:00,8,224,27.5,25.4,0,0,0
9,추자도,2021-09-01 16:00,7,228,27.5,25.5,0,0,0
10,추자도,2021-09-01 17:00,7.7,232,27.3,25.5,1.5,0,0
11,추자도,2021-09-01 18:00,6,341,24.6,25.5,8.5,0,0
12,추자도,2021-09-01 19:00,6,349,24.8,25.5,0,0,0
13,추자도,2021-09-01 20:00,5.8,350,24.9,25.5,0,0,0
14,추자도,2021-09-01 21:00,5.4,354,24.7,25.5,0,0,0
15,추자도,2021-09-01 22:00,3.9,352,24.6,25.5,0,0,0
16,추자도,2021-09-01 23:00,3.3,331,24.4,25.5,0,0,0
17,추자도,2021-09-02 0:00,4.1,317,24.2,25.5,0,0,0
18,추자도,2021-09-02 1:00,5.6,326,24.1,25.4,0,0,0
19,추자도,2021-09-02 2:00,4.1,325,24.1,25.4,0,0,0
20,추자도,2021-09-02 3:00,3.9,343,24.2,25.4,0,0,0
21,추자도,2021-09-02 4:00,3.2,348,24,25.4,0,0,0
22,추자도,2021-09-02 5:00,2,347,24,25.4,0,0,0
23,추자도,2021-09-02 6:00,1.4,359,24,25.8,0,0,0
24,추자도,2021-09-02 7:00,1.6,53,24.3,26.3,0,0,0
25,추자도,2021-09-02 8:00,1.2,68,24.6,26.5,0,0,0
26,추자도,2021-09-02 9:00,1.9,56,24.6,27,0,0,0
27,추자도,2021-09-02 10:00,2,41,24.7,27.2,0,0,0
28,추자도,2021-09-02 11:00,3.1,8,24.7,27.2,0,0,0
29,추자도,2021-09-02 12:00,2.7,45,24.7,27.1,0,0,0
30,추자도,2021-09-02 13:00,3.1,326,24.9,27.1,0,0,0
31,추자도,2021-09-02 14:00,3.3,98,24.8,26.3,0,0,0
32,추자도,2021-09-02 15:00,3.4,134,24.1,25.6,0.5,0,0
33,추자도,2021-09-02 16:00,6.8,117,23.8,25.6,0,0,0
34,추자도,2021-09-02 17:00,7.2,137,23.4,25.5,0,0,0
35,추자도,2021-09-02 18:00,5.1,136,24.4,25.5,0.5,0,0
36,추자도,2021-09-02 19:00,5.8,147,24.5,25.6,0,0,0
37,추자도,2021-09-02 20:00,4.9,195,23.8,26.2,0,0,0
38,추자도,2021-09-02 21:00,1.3,73,23.7,27,3.5,0,0
39,추자도,2021-09-02 22:00,3,108,22.5,27,4.5,0,0
40,추자도,2021-09-02 23:00,4.9,102,23.3,27,1.5,0,0
41,추자도,2021-09-03 0:00,4.2,81,23.7,27.2,7,0,0
42,추자도,2021-09-03 1:00,3.2,116,24.7,27.3,4,0,0
43,추자도,2021-09-03 2:00,3.3,117,24.2,27.3,1,0,0
44,추자도,2021-09-03 3:00,4.9,93,24.4,27.3,3.5,0,0
45,추자도,2021-09-03 4:00,6.4,67,24.6,27.3,0.5,0,0
46,추자도,2021-09-03 5:00,7.7,97,24.9,27.3,0,0,0
47,추자도,2021-09-03 6:00,9.2,66,24.7,27.2,0,0,0
48,추자도,2021-09-03 7:00,9.2,68,24.3,27.2,0,0,0
49,추자도,2021-09-03 8:00,9,70,24.2,27.2,0,0,0
50,추자도,2021-09-03 9:00,8.7,57,24,27.2,0,0,0
51,추자도,2021-09-03 10:00,8,54,24,27.2,0,0,0
52,추자도,2021-09-03 11:00,7.9,51,23.6,27.2,0,0,0
53,추자도,2021-09-03 12:00,6.8,61,23.5,27.2,0,0,0
54,추자도,2021-09-03 13:00,5.4,53,23.8,27.2,0,0,0
55,추자도,2021-09-03 14:00,5.8,70,24.3,27.2,0,0,0
56,추자도,2021-09-03 15:00,5.1,57,24.3,27.2,0,0,0
57,추자도,2021-09-03 16:00,5.2,56,24.5,27.2,0,0,0
58,추자도,2021-09-03 18:00,5.2,69,24.6,27.2,0,0,0
59,추자도,2021-09-03 19:00,4.9,57,25,27.2,0,0,0
60,추자도,2021-09-03 20:00,5.1,73,25.5,27.2,0,0,0
61,추자도,2021-09-03 21:00,6,86,25.8,27.3,0,0,0
62,추자도,2021-09-03 22:00,5.5,42,25.2,27.3,0,0,0
63,추자도,2021-09-03 23:00,5.4,55,25.1,27.3,0,0,0
64,추자도,2021-09-04 0:00,6.6,96,25.5,27.3,0,0,0
65,추자도,2021-09-04 1:00,7.2,92,25.4,27.3,0,0,0
66,추자도,2021-09-04 2:00,7,87,25.5,27.2,0,0,0
67,추자도,2021-09-04 3:00,8,92,25.3,27.2,0,0,0
68,추자도,2021-09-04 4:00,8.2,101,25.3,27.2,0,0,0
69,추자도,2021-09-04 5:00,8.6,101,25,27.2,0,0,0
